"1","1","One","lime","one","run","won"
"10","10","Ten","ten"
"100","100","One Hundred","One hundred","One-Hundred","One-hundred","one Hundred","one hundred","one-Hundred","one-hundred"
"11","11","Eleven","eleven"
"12","12","Twelve","twelve"
"13","13","Thirteen","thirteen"
"14","14","Fourteen","fourteen"
"15","15","Fifteen","fifteen"
"16","16","Sixteen","sixteen"
"17","17","Seventeen","seventeen"
"18","18","Eighteen","eighteen"
"19","19","Nineteen","nineteen"
"2","2","Two","to","too","two"
"20","20","Twenty","twenty"
"21","21","Twenty One","Twenty one","Twenty-One","Twenty-one","twenty One","twenty one","twenty-One","twenty-one"
"22","22","Twenty Two","Twenty two","Twenty-Two","Twenty-two","twenty Two","twenty two","twenty-Two","twenty-two"
"23","23","Twenty Three","Twenty three","Twenty-Three","Twenty-three","twenty Three","twenty three","twenty-Three","twenty-three"
"24","24","Twenty Four","Twenty four","Twenty-Four","Twenty-four","twenty Four","twenty four","twenty-Four","twenty-four"
"25","25","Twenty Five","Twenty five","Twenty-Five","Twenty-five","twenty Five","twenty five","twenty-Five","twenty-five"
"26","26","Twenty Six","Twenty six","Twenty-Six","Twenty-six","twenty Six","twenty six","twenty-Six","twenty-six"
"27","27","Twenty Seven","Twenty seven","Twenty-Seven","Twenty-seven","twenty Seven","twenty seven","twenty-Seven","twenty-seven"
"28","28","Twenty Eight","Twenty eight","Twenty-Eight","Twenty-eight","twenty Eight","twenty eight","twenty-Eight","twenty-eight"
"29","29","Twenty Nine","Twenty nine","Twenty-Nine","Twenty-nine","twenty Nine","twenty nine","twenty-Nine","twenty-nine"
"3","3","Three","three"
"30","30","Thirty","thirty"
"31","31","Thirty One","Thirty one","Thirty-One","Thirty-one","thirty One","thirty one","thirty-One","thirty-one"
"32","32","Thirty Two","Thirty two","Thirty-Two","Thirty-two","thirty Two","thirty two","thirty-Two","thirty-two"
"33","33","Thirty Three","Thirty three","Thirty-Three","Thirty-three","thirty Three","thirty three","thirty-Three","thirty-three"
"34","34","Thirty Four","Thirty four","Thirty-Four","Thirty-four","thirty Four","thirty four","thirty-Four","thirty-four"
"35","35","Thirty Five","Thirty five","Thirty-Five","Thirty-five","thirty Five","thirty five","thirty-Five","thirty-five"
"36","36","Thirty Six","Thirty six","Thirty-Six","Thirty-six","thirty Six","thirty six","thirty-Six","thirty-six"
"37","37","Thirty Seven","Thirty seven","Thirty-Seven","Thirty-seven","thirty Seven","thirty seven","thirty-Seven","thirty-seven"
"38","38","Thirty Eight","Thirty eight","Thirty-Eight","Thirty-eight","thirty Eight","thirty eight","thirty-Eight","thirty-eight"
"39","39","Thirty Nine","Thirty nine","Thirty-Nine","Thirty-nine","thirty Nine","thirty nine","thirty-Nine","thirty-nine"
"4","4","Four","for","four"
"40","40","Forty","forty"
"41","41","Forty One","Forty one","Forty-One","Forty-one","forty One","forty one","forty-One","forty-one"
"42","42","Forty Two","Forty two","Forty-Two","Forty-two","forty Two","forty two","forty-Two","forty-two"
"43","43","Forty Three","Forty three","Forty-Three","Forty-three","forty Three","forty three","forty-Three","forty-three"
"44","44","Forty Four","Forty four","Forty-Four","Forty-four","forty Four","forty four","forty-Four","forty-four"
"45","45","Forty Five","Forty five","Forty-Five","Forty-five","forty Five","forty five","forty-Five","forty-five"
"46","46","Forty Six","Forty six","Forty-Six","Forty-six","forty Six","forty six","forty-Six","forty-six"
"47","47","Forty Seven","Forty seven","Forty-Seven","Forty-seven","forty Seven","forty seven","forty-Seven","forty-seven"
"48","48","Forty Eight","Forty eight","Forty-Eight","Forty-eight","forty Eight","forty eight","forty-Eight","forty-eight"
"49","49","Forty Nine","Forty nine","Forty-Nine","Forty-nine","forty Nine","forty nine","forty-Nine","forty-nine"
"5","5","Five","five"
"50","50","Fifty","fifty"
"51","51","Fifty One","Fifty one","Fifty-One","Fifty-one","fifty One","fifty one","fifty-One","fifty-one"
"52","52","Fifty Two","Fifty two","Fifty-Two","Fifty-two","fifty Two","fifty two","fifty-Two","fifty-two"
"53","53","Fifty Three","Fifty three","Fifty-Three","Fifty-three","fifty Three","fifty three","fifty-Three","fifty-three"
"54","54","Fifty Four","Fifty four","Fifty-Four","Fifty-four","fifty Four","fifty four","fifty-Four","fifty-four"
"55","55","Fifty Five","Fifty five","Fifty-Five","Fifty-five","fifty Five","fifty five","fifty-Five","fifty-five"
"56","56","Fifty Six","Fifty six","Fifty-Six","Fifty-six","fifty Six","fifty six","fifty-Six","fifty-six"
"57","57","Fifty Seven","Fifty seven","Fifty-Seven","Fifty-seven","fifty Seven","fifty seven","fifty-Seven","fifty-seven"
"58","58","Fifty Eight","Fifty eight","Fifty-Eight","Fifty-eight","fifty Eight","fifty eight","fifty-Eight","fifty-eight"
"59","59","Fifty Nine","Fifty nine","Fifty-Nine","Fifty-nine","fifty Nine","fifty nine","fifty-Nine","fifty-nine"
"6","6","Six","six"
"60","60","Sixty","sixty"
"61","61","Sixty One","Sixty one","Sixty-One","Sixty-one","sixty One","sixty one","sixty-One","sixty-one"
"62","62","Sixty Two","Sixty two","Sixty-Two","Sixty-two","sixty Two","sixty two","sixty-Two","sixty-two"
"63","63","Sixty Three","Sixty three","Sixty-Three","Sixty-three","sixty Three","sixty three","sixty-Three","sixty-three"
"64","64","Sixty Four","Sixty four","Sixty-Four","Sixty-four","sixty Four","sixty four","sixty-Four","sixty-four"
"65","65","Sixty Five","Sixty five","Sixty-Five","Sixty-five","sixty Five","sixty five","sixty-Five","sixty-five"
"66","66","Sixty Six","Sixty six","Sixty-Six","Sixty-six","sixty Six","sixty six","sixty-Six","sixty-six"
"67","67","Sixty Seven","Sixty seven","Sixty-Seven","Sixty-seven","sixty Seven","sixty seven","sixty-Seven","sixty-seven"
"68","68","Sixty Eight","Sixty eight","Sixty-Eight","Sixty-eight","sixty Eight","sixty eight","sixty-Eight","sixty-eight"
"69","69","Sixty Nine","Sixty nine","Sixty-Nine","Sixty-nine","sixty Nine","sixty nine","sixty-Nine","sixty-nine"
"7","7","Seven","seven"
"70","70","Seventy","seventy"
"71","71","Seventy One","Seventy one","Seventy-One","Seventy-one","seventy One","seventy one","seventy-One","seventy-one"
"72","72","Seventy Two","Seventy two","Seventy-Two","Seventy-two","seventy Two","seventy two","seventy-Two","seventy-two"
"73","73","Seventy Three","Seventy three","Seventy-Three","Seventy-three","seventy Three","seventy three","seventy-Three","seventy-three"
"74","74","Seventy Four","Seventy four","Seventy-Four","Seventy-four","seventy Four","seventy four","seventy-Four","seventy-four"
"75","75","Seventy Five","Seventy five","Seventy-Five","Seventy-five","seventy Five","seventy five","seventy-Five","seventy-five"
"76","76","Seventy Six","Seventy six","Seventy-Six","Seventy-six","seventy Six","seventy six","seventy-Six","seventy-six"
"77","77","Seventy Seven","Seventy seven","Seventy-Seven","Seventy-seven","seventy Seven","seventy seven","seventy-Seven","seventy-seven"
"78","78","Seventy Eight","Seventy eight","Seventy-Eight","Seventy-eight","seventy Eight","seventy eight","seventy-Eight","seventy-eight"
"79","79","Seventy Nine","Seventy nine","Seventy-Nine","Seventy-nine","seventy Nine","seventy nine","seventy-Nine","seventy-nine"
"8","8","Eight","eight"
"80","80","Eighty","eighty"
"81","81","Eighty One","Eighty one","Eighty-One","Eighty-one","eighty One","eighty one","eighty-One","eighty-one"
"82","82","Eighty Two","Eighty two","Eighty-Two","Eighty-two","eighty Two","eighty two","eighty-Two","eighty-two"
"83","83","Eighty Three","Eighty three","Eighty-Three","Eighty-three","eighty Three","eighty three","eighty-Three","eighty-three"
"84","84","Eighty Four","Eighty four","Eighty-Four","Eighty-four","eighty Four","eighty four","eighty-Four","eighty-four"
"85","85","Eighty Five","Eighty five","Eighty-Five","Eighty-five","eighty Five","eighty five","eighty-Five","eighty-five"
"86","86","Eighty Six","Eighty six","Eighty-Six","Eighty-six","eighty Six","eighty six","eighty-Six","eighty-six"
"87","87","Eighty Seven","Eighty seven","Eighty-Seven","Eighty-seven","eighty Seven","eighty seven","eighty-Seven","eighty-seven"
"88","88","Eighty Eight","Eighty eight","Eighty-Eight","Eighty-eight","eighty Eight","eighty eight","eighty-Eight","eighty-eight"
"89","89","Eighty Nine","Eighty nine","Eighty-Nine","Eighty-nine","eighty Nine","eighty nine","eighty-Nine","eighty-nine"
"9","9","Nine","nine"
"90","90","Ninety","ninety"
"91","91","Ninety One","Ninety one","Ninety-One","Ninety-one","ninety One","ninety one","ninety-One","ninety-one"
"92","92","Ninety Two","Ninety two","Ninety-Two","Ninety-two","ninety Two","ninety two","ninety-Two","ninety-two"
"93","93","Ninety Three","Ninety three","Ninety-Three","Ninety-three","ninety Three","ninety three","ninety-Three","ninety-three"
"94","94","Ninety Four","Ninety four","Ninety-Four","Ninety-four","ninety Four","ninety four","ninety-Four","ninety-four"
"95","95","Ninety Five","Ninety five","Ninety-Five","Ninety-five","ninety Five","ninety five","ninety-Five","ninety-five"
"96","96","Ninety Six","Ninety six","Ninety-Six","Ninety-six","ninety Six","ninety six","ninety-Six","ninety-six"
"97","97","Ninety Seven","Ninety seven","Ninety-Seven","Ninety-seven","ninety Seven","ninety seven","ninety-Seven","ninety-seven"
"98","98","Ninety Eight","Ninety eight","Ninety-Eight","Ninety-eight","ninety Eight","ninety eight","ninety-Eight","ninety-eight"
"99","99","Ninety Nine","Ninety nine","Ninety-Nine","Ninety-nine","ninety Nine","ninety nine","ninety-Nine","ninety-nine"
